"Provider","EventId","MarketId","SelectionId","MarketType","Handicap","BetType","EventName","MarketName","StartTime"
"sentrybot","35370763","1.255282565","6207339","MATCH_ODDS","0","BACK","Machida Zelvia v Kashima Antlers","Match Odds","2026-03-18 10:30:00"
"sentrybot","35375565","1.255342479","2224159","MATCH_ODDS","0","BACK","Jeonbuk Motors v Anyang","Match Odds","2026-03-18 10:30:00"
"sentrybot","35370656","1.255282351","5851482","FIRST_HALF_GOALS","0","BACK","Mito HollyHock v Yokohama F. Marinos","First Half Goals 0.5","2026-03-18 10:00:00"
"sentrybot","35375572","1.255342354","1221385","FIRST_HALF_GOALS","0","BACK","Pohang Steelers v FC Seoul","First Half Goals 1.5","2026-03-18 10:30:00"
"sentrybot","35375949","1.255351796","5348606","MATCH_ODDS","0","BACK","Bucheon FC 1995 v Gangwon FC","Match Odds","2026-03-18 10:30:00"
"sentrybot","35363525","1.255180969","113125","MATCH_ODDS","0","BACK","Eyupspor v Trabzonspor","Match Odds","2026-03-18 17:00:00"
"sentrybot","35362557","1.255167415","8587663","MATCH_ODDS","0","BACK","SV Ried v LASK Linz","Match Odds","2026-03-18 17:00:00"
"sentrybot","35370769","1.255279640","441082","MATCH_ODDS","0","BACK","Vissel Kobe v Gamba Osaka","Match Odds","2026-03-18 10:00:00"
"sentrybot","35363525","1.255180969","4202656","MATCH_ODDS","0","BACK","Eyupspor v Trabzonspor","Match Odds","2026-03-18 17:00:00"
"sentrybot","35370851","1.255279532","1080507","MATCH_ODDS","0","BACK","Tokyo Verdy v Kawasaki Frontale","Match Odds","2026-03-18 10:00:00"
"sentrybot","35370655","1.255279424","353589","MATCH_ODDS","0","BACK","Cerezo Osaka v Fagiano Okayama","Match Odds","2026-03-18 09:30:00"
"sentrybot","35384823","1.255484231","27046665","MATCH_ODDS","0","BACK","Tianjin Pioneers v Shenzhen Leopards","Moneyline","2026-03-18 11:35:00"
"sentrybot","35370655","1.255279424","5561025","MATCH_ODDS","0","BACK","Cerezo Osaka v Fagiano Okayama","Match Odds","2026-03-18 09:30:00"
"sentrybot","35375374","1.255337309","5352229","MATCH_ODDS","0","BACK","Jeju SK v Ulsan HD","Match Odds","2026-03-18 10:30:00"
"sentrybot","35375572","1.255342329","2479786","MATCH_ODDS","0","BACK","Pohang Steelers v FC Seoul","Match Odds","2026-03-18 10:30:00"
"sentrybot","35370657","1.255282240","350849","MATCH_ODDS","0","BACK","JEF United Chiba v FC Tokyo","Match Odds","2026-03-18 10:00:00"
"sentrybot","35386908","1.255498848","8882733","MATCH_ODDS","0","BACK","KK Borac Cacak v Spartak Subotica","Moneyline","2026-03-18 20:00:00"
"sentrybot","35379831","1.255420609","4399974","MATCH_ODDS","0","BACK","Alba Berlin v BC AEK Athens","Moneyline","2026-03-18 18:00:00"
"sentrybot","35378485","1.255471636","2563344","ASIAN_HANDICAP","0","BACK","Bilbao Basket v Petkim Spor Aliaga","Handicap","2026-03-18 19:00:00"
"sentrybot","35363452","1.255178711","113126","ASIAN_HANDICAP","0","BACK","Alanyaspor v Kocaelispor","Asian Handicap","2026-03-18 13:00:00"
"sentrybot","35366888","1.255216779","48799","MATCH_ODDS","0","BACK","Braga v Ferencvaros","Match Odds","2026-03-18 15:30:00"
"sentrybot","35380423","1.255423170","11168417","MATCH_ODDS","0","BACK","Rekord Bielsko Biala v Sandecja Nowy Sacz","Match Odds","2026-03-18 14:15:00"
"sentrybot","35384823","1.255484231","15945897","MATCH_ODDS","0","BACK","Tianjin Pioneers v Shenzhen Leopards","Moneyline","2026-03-18 11:35:00"
"sentrybot","35367829","1.255234199","5851482","FIRST_HALF_GOALS","0","BACK","Southampton v Norwich City","First Half Goals 0.5","2026-03-18 19:45:00"
"sentrybot","35368485","1.255246292","71387076","MATCH_ODDS","0","BACK","Bahia v Bragantino","Match Odds","2026-03-18 22:00:00"
"sentrybot","35363452","1.255178698","2080777","MATCH_ODDS","0","BACK","Alanyaspor v Kocaelispor","Match Odds","2026-03-18 13:00:00"
"sentrybot","35359700","1.255130874","52480964","MATCH_ODDS","0","BACK","Barcelona v Newcastle United","Match Odds","2026-03-18 17:45:00"
"sentrybot","35378374","1.255481840","36634750","ASIAN_HANDICAP","0","BACK","KK Cibona v KK Dinamo Zagreb","Handicap","2026-03-18 18:00:00"
"sentrybot","35383960","1.255460883","59083052","MATCH_ODDS","0","BACK","Vizela v Estrela Amadora","Match Odds","2026-03-18 15:00:00"
"sentrybot","35376370","1.255358083","20530702","MATCH_ODDS","0","BACK","Avellino v Sudtirol","Match Odds","2026-03-18 19:00:00"
"sentrybot","35380422","1.255423260","5751506","MATCH_ODDS","0","BACK","Gks Jastrzebie v Sokol Kleczew","Match Odds","2026-03-18 14:30:00"
"sentrybot","35376370","1.255358083","4893599","MATCH_ODDS","0","BACK","Avellino v Sudtirol","Match Odds","2026-03-18 19:00:00"
"sentrybot","35381220","1.255432819","40846946","MATCH_ODDS","0","BACK","Al-Kholood v Al-Ittihad","Match Odds","2026-03-18 19:00:00"
"sentrybot","35376494","1.255477242","237488","MATCH_ODDS","0","BACK","Houston Rockets v Los Angeles Lakers","Moneyline","2026-03-19 01:30:00"
"sentrybot","35373285","1.255316825","5727549","MATCH_ODDS","0","BACK","Carrarese v Sampdoria","Match Odds","2026-03-18 19:00:00"
"sentrybot","35383730","1.255464784","6317989","MATCH_ODDS","0","BACK","Internazionale v Benfica","Match Odds","2026-03-18 15:00:00"
"sentrybot","35376494","1.255477098","5368712","ASIAN_HANDICAP","0","BACK","Houston Rockets v Los Angeles Lakers","Handicap","2026-03-19 01:30:00"
"sentrybot","35379827","1.255482173","7749534","MATCH_ODDS","0","BACK","Kauhajoki Karhu Basket v Honka Espoo","Moneyline","2026-03-18 16:30:00"
"sentrybot","35380358","1.255420206","3618587","MATCH_ODDS","0","BACK","Al Wasl v Al Dhafra","Match Odds","2026-03-18 17:30:00"
"sentrybot","35377013","1.255367675","3038746","MATCH_ODDS","0","BACK","Viking v Aalesunds","Match Odds","2026-03-18 17:00:00"
"sentrybot","35371230","1.255280414","893582","MATCH_ODDS","0","BACK","MK Dons v Colchester United","Match Odds","2026-03-18 20:00:00"
"sentrybot","35378447","1.255469072","10231227","ASIAN_HANDICAP","0","BACK","KK Bosna Royal Sarajevo v Falco KC Szombathely","Handicap","2026-03-18 19:00:00"
"sentrybot","35378311","1.255404545","3487243","ASIAN_HANDICAP","0","BACK","Miami Ohio v SMU","Handicap","2026-03-19 01:10:00"
"sentrybot","35369737","1.255256905","27785243","MATCH_ODDS","0","BACK","Inter Miami v Nashville SC","Match Odds","2026-03-18 23:00:00"
"sentrybot","35373285","1.255316825","60311","MATCH_ODDS","0","BACK","Carrarese v Sampdoria","Match Odds","2026-03-18 19:00:00"
"sentrybot","35376611","1.255360843","201327","MATCH_ODDS","0","BACK","Pescara v Virtus Entella","Match Odds","2026-03-18 19:00:00"
"sentrybot","35369735","1.255260696","5383053","MATCH_ODDS","0","BACK","Seattle Sounders v Vancouver Whitecaps","Match Odds","2026-03-19 03:00:00"
"sentrybot","35376491","1.255488823","7379341","MATCH_ODDS","0","BACK","New Orleans Pelicans v Los Angeles Clippers","Moneyline","2026-03-19 00:10:00"
"sentrybot","35359742","1.255132648","5774350","MATCH_ODDS","0","BACK","Bayern Munich v Atalanta","Match Odds","2026-03-18 20:00:00"
