Provider,EventId,MarketId,SelectionId,MarketType,Handicap,BetType,EventName,MarketName,StartTime,MaxPrice,MinPrice,Price,BSP,SelectionName,Size,Points,BetId,Chance,Confidence,SourceMarketType
sentrybot,35338080,1.254835243,48224,MATCH_ODDS,0,BACK,Tottenham Hotspur v Nottingham Forest,Match Odds,22/03/2026 14:15:00,1000,2.00,0,0,Tottenham Hotspur,0,0,,0,100,MATCH_ODDS
sentrybot,35376567,1.255358666,55224,MATCH_ODDS,0,BACK,Rosenborg v Valerenga,Match Odds,22/03/2026 13:30:00,1000,2.00,0,0,Rosenborg,0,0,,0,100,MATCH_ODDS
sentrybot,35349756,1.255010372,64374,MATCH_ODDS,0,BACK,Mainz 05 v Eintracht Frankfurt,Match Odds,22/03/2026 14:30:00,1000,2.00,0,0,Mainz 05,0,0,,0,100,HALF_TIME
sentrybot,35385446,1.255480081,9460511,MATCH_ODDS,0,BACK,Karpaty Lviv v Obolon,Match Odds,22/03/2026 16:00:00,1000,2.00,0,0,Obolon,0,0,,0,93,MATCH_ODDS
sentrybot,35376261,1.255625969,1532826,MATCH_ODDS,0,BACK,TS Galaxy v Orlando Pirates,Match Odds,22/03/2026 13:30:00,1000,2.00,0,0,Orlando Pirates,0,0,,0,100,MATCH_ODDS
sentrybot,35363320,1.255178278,17304,MATCH_ODDS,0,BACK,Boca Juniors v Instituto,Match Odds,22/03/2026 23:00:00,1000,2.00,0,0,Boca Juniors,0,0,,0,100,MATCH_ODDS
sentrybot,35375542,1.255340940,50334,MATCH_ODDS,0,BACK,Asteras Tripolis v Panathinaikos,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,Panathinaikos,0,0,,0,100,MATCH_ODDS
sentrybot,35383896,1.255459416,924268,MATCH_ODDS,0,BACK,Sudtirol v Frosinone,Match Odds,22/03/2026 14:00:00,1000,2.00,0,0,Frosinone,0,0,,0,100,HALF_TIME
sentrybot,35377194,1.255372040,1101610,MATCH_ODDS,0,BACK,San Diego FC v Real Salt Lake,Match Odds,22/03/2026 23:00:00,1000,2.00,0,0,Real Salt Lake,0,0,,0,100,MATCH_ODDS
sentrybot,35397527,1.255659526,697628,ASIAN_HANDICAP,0,BACK,Purdue v Miami Florida,Handicap,22/03/2026 16:10:00,1000,2.00,0,0,Purdue -6.5,0,0,,0,100,HANDICAP
sentrybot,35397539,1.255659742,697690,ASIAN_HANDICAP,0,BACK,Connecticut v UCLA,Handicap,23/03/2026 00:45:00,1000,2.00,0,0,UCLA +5.5,0,0,,0,100,HANDICAP
sentrybot,35397491,1.255659309,4360199,MATCH_ODDS,0,BACK,Kansas v St. John's,Moneyline,22/03/2026 21:15:00,1000,2.00,0,0,St. John's,0,0,,0,100,HALF_TIME
sentrybot,35380729,1.255425817,2503611,MATCH_ODDS,0,BACK,Cukaricki v Zeleznicar Pancevo,Match Odds,22/03/2026 15:00:00,1000,2.00,0,0,Cukaricki,0,0,,0,100,HALF_TIME
sentrybot,35384187,1.255463586,384083,MATCH_ODDS,0,BACK,Mjallby v GAIS,Match Odds,22/03/2026 15:00:00,1000,2.00,0,0,GAIS,0,0,,0,100,MATCH_ODDS
sentrybot,35351192,1.255021424,66483,MATCH_ODDS,0,BACK,Celta Vigo v Alaves,Match Odds,22/03/2026 15:15:00,1000,2.00,0,0,Celta Vigo,0,0,,0,100,MATCH_ODDS
sentrybot,35377231,1.255373079,36030194,ASIAN_HANDICAP,0,BACK,RAAL La Louviere v Genk,Match Odds,22/03/2026 17:30:00,1000,2.00,0,0,RAAL La Louviere +0.25,0,0,,0,100,HALF_TIME
sentrybot,35378433,1.255387487,198134,MATCH_ODDS,0,BACK,Vasco da Gama v Gremio,Match Odds,22/03/2026 19:00:00,1000,2.00,0,0,Gremio,0,0,,0,100,MATCH_ODDS
sentrybot,35377163,1.255371278,8942696,MATCH_ODDS,0,BACK,Estoril v Rio Ave,Match Odds,22/03/2026 15:30:00,1000,2.00,0,0,Estoril,0,0,,0,100,MATCH_ODDS
sentrybot,35376972,1.255366470,3465177,MATCH_ODDS,0,BACK,Hermannstadt v Botosani,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,Botosani,0,0,,0,100,MATCH_ODDS
sentrybot,35375546,1.255340387,10758,ASIAN_HANDICAP,0,BACK,AEK Athens v AE Kifisia,Asian Handicap,22/03/2026 17:00:00,1000,2.00,0,0,AEK Athens -0.75,0,0,,0,100,HALF_TIME
sentrybot,35376541,1.255355569,2017883,MATCH_ODDS,0,BACK,Kazincbarcikai v Gyori ETO,Match Odds,22/03/2026 15:45:00,1000,2.00,0,0,Gyori ETO,0,0,,0,94,MATCH_ODDS
sentrybot,35377004,1.255367379,6692727,MATCH_ODDS,0,BACK,HNK Gorica v HNK Rijeka,Match Odds,22/03/2026 16:45:00,1000,2.00,0,0,HNK Gorica,0,0,,0,100,MATCH_ODDS
sentrybot,35376570,1.255358462,778903,MATCH_ODDS,0,BACK,Sandefjord v Sarpsborg 08,Match Odds,22/03/2026 16:00:00,1000,2.00,0,0,Sarpsborg 08,0,0,,0,100,MATCH_ODDS
sentrybot,35385446,1.255480081,2017824,MATCH_ODDS,0,BACK,Karpaty Lviv v Obolon,Match Odds,22/03/2026 16:00:00,1000,2.00,0,0,Karpaty Lviv,0,0,,0,93,MATCH_ODDS
sentrybot,35377095,1.255369580,505726,MATCH_ODDS,0,BACK,Zulte Waregem v Charleroi,Match Odds,22/03/2026 17:30:00,1000,2.00,0,0,Zulte Waregem,0,0,,0,100,MATCH_ODDS
sentrybot,35376455,1.255626059,17586408,MATCH_ODDS,0,BACK,Durban City v Richards Bay,Match Odds,22/03/2026 16:00:00,1000,2.00,0,0,Richards Bay,0,0,,0,100,MATCH_ODDS
sentrybot,35352386,1.255039706,70446,ASIAN_HANDICAP,0,BACK,Paris FC v Le Havre,Asian Handicap,22/03/2026 16:15:00,1000,2.00,0,0,Le Havre +0.25,0,0,,0,100,HALF_TIME
sentrybot,35393284,1.255651415,237476,MATCH_ODDS,0,BACK,Phoenix Suns v Toronto Raptors,Moneyline,23/03/2026 01:00:00,1000,2.00,0,0,Toronto Raptors,0,0,,0,90,HALF_TIME
sentrybot,35398717,1.255621815,6865403,MATCH_ODDS,0,BACK,Brighton v Everton,Match Odds,22/03/2026 16:00:00,1000,2.00,0,0,Brighton,0,0,,0,100,MATCH_ODDS
sentrybot,35380337,1.255631636,25592,MATCH_ODDS,0,BACK,New York Islanders v Columbus Blue Jackets,Moneyline,22/03/2026 23:00:00,1000,2.00,0,0,Columbus Blue Jackets,0,0,,0,90,MATCH_ODDS
sentrybot,35375542,1.255340943,5851482,FIRST_HALF_GOALS,0,BACK,Asteras Tripolis v Panathinaikos,First Half Goals 0.5,22/03/2026 17:00:00,1000,2.00,0,0,Under 1 Goals,0,0,,0,100,HALF_TIME
sentrybot,35378411,1.255386498,5851482,FIRST_HALF_GOALS,0,BACK,Vitoria v Mirassol,First Half Goals 0.5,22/03/2026 21:30:00,1000,2.00,0,0,Under 1 Goals,0,0,,0,100,HALF_TIME
sentrybot,35375539,1.255341487,16417407,MATCH_ODDS,0,BACK,Volos v PAOK,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,Volos,0,0,,0,100,MATCH_ODDS
sentrybot,35375545,1.255340704,1234639,MATCH_ODDS,0,BACK,Levadiakos v Atromitos,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,Atromitos,0,0,,0,100,MATCH_ODDS
sentrybot,35377169,1.255372610,10962520,MATCH_ODDS,0,BACK,FC Cincinnati v CF Montreal,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,FC Cincinnati,0,0,,0,100,MATCH_ODDS
sentrybot,35395597,1.255592068,60569900,MATCH_ODDS,0,BACK,Napoli Basket v Pallacanestro Varese,Moneyline,22/03/2026 17:15:00,1000,2.00,0,0,Napoli Basket,0,0,,0,100,HALF_TIME
sentrybot,35375542,1.255340940,1300930,MATCH_ODDS,0,BACK,Asteras Tripolis v Panathinaikos,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,Asteras Tripolis,0,0,,0,100,MATCH_ODDS
sentrybot,35377194,1.255371997,1101610,ASIAN_HANDICAP,0,BACK,San Diego FC v Real Salt Lake,Asian Handicap,22/03/2026 23:00:00,1000,2.00,0,0,Real Salt Lake +0.25,0,0,,0,100,HALF_TIME
sentrybot,35351204,1.255020492,508827,MATCH_ODDS,0,BACK,Roma v Lecce,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,Lecce,0,0,,0,100,MATCH_ODDS
sentrybot,35375545,1.255340704,531200,MATCH_ODDS,0,BACK,Levadiakos v Atromitos,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,Levadiakos,0,0,,0,100,MATCH_ODDS
sentrybot,35390908,1.255538351,11168417,MATCH_ODDS,0,BACK,KKS 1925 Kalisz v Rekord Bielsko Biala,Match Odds,22/03/2026 17:00:00,1000,2.00,0,0,Rekord Bielsko Biala,0,0,,0,93,MATCH_ODDS
sentrybot,35349760,1.255009574,498560,ASIAN_HANDICAP,0,BACK,Augsburg v Stuttgart,Asian Handicap,22/03/2026 18:30:00,1000,2.00,0,0,Augsburg +0.25,0,0,,0,100,HALF_TIME
sentrybot,35377102,1.255369809,1308816,ASIAN_HANDICAP,0,BACK,Dender v Gent,Asian Handicap,22/03/2026 17:30:00,1000,2.00,0,0,Dender +0.25,0,0,,0,100,HALF_TIME
sentrybot,35377095,1.255369580,65808,MATCH_ODDS,0,BACK,Zulte Waregem v Charleroi,Match Odds,22/03/2026 17:30:00,1000,2.00,0,0,Charleroi,0,0,,0,100,MATCH_ODDS
sentrybot,35397490,1.255611298,5129867,MATCH_ODDS,0,BACK,Universidad Catolica v Universidad de Concepcion,Match Odds,22/03/2026 21:00:00,1000,2.00,0,0,Universidad de Concepcion,0,0,,0,91,MATCH_ODDS
sentrybot,35377187,1.255374797,10539864,MATCH_ODDS,0,BACK,Al Ittihad Al Sakandary v Pharco FC,Match Odds,22/03/2026 18:00:00,1000,2.00,0,0,Pharco FC,0,0,,0,96,MATCH_ODDS
sentrybot,35377185,1.255372286,7533070,MATCH_ODDS,0,BACK,Minnesota United v Seattle Sounders,Match Odds,22/03/2026 18:30:00,1000,2.00,0,0,Minnesota United,0,0,,0,98,MATCH_ODDS
sentrybot,35377197,1.255371872,6563318,MATCH_ODDS,0,BACK,Benfica II v Farense,Match Odds,22/03/2026 18:00:00,1000,2.00,0,0,Benfica II,0,0,,0,97,MATCH_ODDS
sentrybot,35377282,1.255373593,10780,ASIAN_HANDICAP,0,BACK,Viborg v Midtjylland,Asian Handicap,22/03/2026 19:00:00,1000,2.00,0,0,Viborg +0.25,0,0,,0,100,HALF_TIME
sentrybot,35378432,1.255386865,198141,ASIAN_HANDICAP,0,BACK,Athletico Paranaense v Coritiba,Asian Handicap,22/03/2026 19:00:00,1000,2.00,0,0,Coritiba +0.25,0,0,,0,96,HALF_TIME
sentrybot,35278626,1.254199040,4525642,MATCH_ODDS,0,BACK,Gremio Novorizontino v Londrina,Match Odds,22/03/2026 23:00:00,1000,2.00,0,0,Londrina,0,0,,0,100,MATCH_ODDS
sentrybot,35381226,1.255432152,5860879,MATCH_ODDS,0,BACK,Temperley v CA Atlanta,Match Odds,22/03/2026 19:00:00,1000,2.00,0,0,CA Atlanta,0,0,,0,100,MATCH_ODDS
sentrybot,35352464,1.255039464,10774,ASIAN_HANDICAP,0,BACK,Nantes v Strasbourg,Asian Handicap,22/03/2026 19:45:00,1000,2.00,0,0,Nantes +0.25,0,0,,0,100,HALF_TIME
sentrybot,35397318,1.255608607,12777067,PLAYER_HANDICAP,0,BACK,Carlos Alcaraz v Sebastian Korda,Handicap,22/03/2026 20:00:00,1000,2.00,0,0,Sebastian Korda (Games),0,0,,0,94,MATCH_ODDS
sentrybot,35378418,1.255386596,198137,MATCH_ODDS,0,BACK,Internacional v Chapecoense,Match Odds,22/03/2026 21:30:00,1000,2.00,0,0,Internacional,0,0,,0,100,MATCH_ODDS
sentrybot,35377549,1.255377998,1221385,FIRST_HALF_GOALS,0,BACK,Braga v Porto,First Half Goals 1.5,22/03/2026 20:30:00,1000,2.00,0,0,Under 1 Goals,0,0,,0,100,HALF_TIME
sentrybot,35377474,1.255380336,16192656,MATCH_ODDS,0,BACK,Atletico Grau v Deportivo Garcilaso,Match Odds,22/03/2026 20:30:00,1000,2.00,0,0,Atletico Grau,0,0,,0,100,MATCH_ODDS
sentrybot,35395903,1.255591558,5129871,MATCH_ODDS,0,BACK,O'Higgins v Deportes Limache,Match Odds,22/03/2026 23:30:00,1000,2.00,0,0,O'Higgins,0,0,,0,97,MATCH_ODDS
sentrybot,35363321,1.255178127,194515,ASIAN_HANDICAP,0,BACK,Estudiantes Rio Cuarto v River Plate,Asian Handicap,22/03/2026 20:45:00,1000,2.00,0,0,River Plate -0.25,0,0,,0,100,HALF_TIME
sentrybot,35384139,1.255465859,20518252,MATCH_ODDS,0,BACK,Jaiba Brava v Tlaxcala,Match Odds,22/03/2026 23:00:00,1000,2.00,0,0,Tlaxcala,0,0,,0,100,MATCH_ODDS
sentrybot,35389117,1.255515687,79102706,MATCH_ODDS,0,BACK,Alianza FC v Deportivo Cali,Match Odds,22/03/2026 21:00:00,1000,2.00,0,0,Alianza FC,0,0,,0,100,MATCH_ODDS
sentrybot,35363321,1.255178127,10891028,ASIAN_HANDICAP,0,BACK,Estudiantes Rio Cuarto v River Plate,Asian Handicap,22/03/2026 20:45:00,1000,2.00,0,0,Estudiantes Rio Cuarto +0.5,0,0,,0,100,HALF_TIME
sentrybot,35278474,1.254196123,204603,MATCH_ODDS,0,BACK,Athletic Club v Ponte Preta,Match Odds,22/03/2026 21:00:00,1000,2.00,0,0,Ponte Preta,0,0,,0,100,MATCH_ODDS
sentrybot,35386803,1.255494882,7598628,MATCH_ODDS,0,BACK,Sportivo San Lorenzo v Nacional Asuncion,Match Odds,22/03/2026 21:30:00,1000,2.00,0,0,Sportivo San Lorenzo,0,0,,0,97,MATCH_ODDS
sentrybot,35380336,1.255631671,25612,MATCH_ODDS,0,BACK,Dallas Stars v Vegas Golden Knights,Moneyline,22/03/2026 23:00:00,1000,2.00,0,0,Dallas Stars,0,0,,0,90,MATCH_ODDS
sentrybot,35392029,1.255651551,237482,ASIAN_HANDICAP,0,BACK,New York Knicks v Washington Wizards,Handicap,22/03/2026 23:30:00,1000,2.00,0,0,New York Knicks -11.5,0,0,,0,90,HALF_TIME
sentrybot,35401150,1.255654392,9545170,MATCH_ODDS,0,BACK,Omar Jasika v Masamichi Imamura,Match Odds,23/03/2026 02:00:00,1000,2.00,0,0,Masamichi Imamura,0,0,,0,94,MATCH_ODDS
sentrybot,35384139,1.255465859,96116352,MATCH_ODDS,0,BACK,Jaiba Brava v Tlaxcala,Match Odds,22/03/2026 23:00:00,1000,2.00,0,0,Jaiba Brava,0,0,,0,100,MATCH_ODDS
sentrybot,35393301,1.255676792,4806937,ASIAN_HANDICAP,0,BACK,El Salvador v Costa Rica,Handicap,23/03/2026 00:00:00,1000,2.00,0,0,Costa Rica +1.5,0,0,,0,100,HALF_TIME
sentrybot,35385526,1.255624851,328915,MATCH_ODDS,0,BACK,Deportes Temuco v San Luis de Quillota,Match Odds,22/03/2026 23:30:00,1000,2.00,0,0,San Luis de Quillota,0,0,,0,100,MATCH_ODDS
sentrybot,35395673,1.255657365,284196,MATCH_ODDS,0,BACK,Oklahoma State v Wichita State,Moneyline,23/03/2026 00:30:00,1000,2.00,0,0,Oklahoma State,0,0,,0,100,HALF_TIME
sentrybot,35393284,1.255651271,237476,ASIAN_HANDICAP,0,BACK,Phoenix Suns v Toronto Raptors,Handicap,23/03/2026 01:00:00,1000,2.00,0,0,Toronto Raptors -2.5,0,0,,0,90,HANDICAP
